2016 rank,City,State[5],2016 estimate,2010 Census,Change,2016 land area,2016 population density,Location
155,Fort Collins,Colorado,"164,207","143,986",+14.04%,55.8sqmi,144.5km2,"2,943/sqmi","1,136/km2",403254N 1050353W / 40.5482N 105.0648W
156,Peoria,Arizona,"164,173","154,065",+6.56%,175.7sqmi,455.1km2,934/sqmi,361/km2,334710N 1121829W / 33.7862N 112.3080W
157,Frisco,Texas,"163,656","116,989",+39.89%,67.7sqmi,175.3km2,"2,417/sqmi",933/km2,330919N 964921W / 33.1554N 96.8226W
158,Cary[25],North Carolina,"162,320","135,234",+20.03%,56.5sqmi,146.3km2,"2,873/sqmi","1,109/km2",354651N 784848W / 35.7809N 78.8133W
159,Lancaster,California,"160,106","156,633",+2.22%,94.3sqmi,244.2km2,"1,698/sqmi",656/km2,344137N 1181031W / 34.6936N 118.1753W
160,Hayward,California,"158,937","144,186",+10.23%,45.5sqmi,117.8km2,"3,493/sqmi","1,349/km2",373743N 1220609W / 37.6287N 122.1024W
161,Palmdale,California,"157,356","152,750",+3.02%,106.0sqmi,274.5km2,"1,484/sqmi",573/km2,343528N 1180619W / 34.5910N 118.1054W
162,Salinas,California,"157,218","150,441",+4.50%,23.6sqmi,61.1km2,"6,662/sqmi","2,572/km2",364125N 1213801W / 36.6902N 121.6337W
163,Alexandria[16],Virginia,"155,810","139,966",+11.32%,15.0sqmi,38.8km2,"10,387/sqmi","4,010/km2",384912N 770503W / 38.8201N 77.0841W
164,Lakewood,Colorado,"154,393","142,980",+7.98%,42.9sqmi,111.1km2,"3,599/sqmi","1,390/km2",394156N 1050703W / 39.6989N 105.1176W
165,Springfield,Massachusetts,"154,074","153,060",+0.66%,31.9sqmi,82.6km2,"4,830/sqmi","1,860/km2",420656N 723224W / 42.1155N 72.5400W
166,Pasadena,Texas,"153,351","149,043",+2.89%,43.5sqmi,112.7km2,"3,525/sqmi","1,361/km2",293931N 950902W / 29.6586N 95.1506W
167,Sunnyvale,California,"152,771","140,081",+9.06%,22.0sqmi,57.0km2,"6,944/sqmi","2,681/km2",372309N 1220135W / 37.3858N 122.0263W
168,Macon[26],Georgia,"152,555","91,351",+67.00%,249.3sqmi,645.7km2,612/sqmi,236/km2,324832N 834139W / 32.8088N 83.6942W
